"recipe_line_id";"menu_variant_id";"menu_item_id";"menu_variant_name";"portion_size";"ingredient_id";"ingredient_name";"ingredient_group_code";"quantity_per_portion";"unit";"preparation_loss_fraction";"preparation_loss_pct";"effective_quantity_per_portion";"recipe_component_status";"inventory_consumption_eligible";"source_row_number";"source_file"
"RL-0088";"MI-006-SMALL";"MI-006";"Poke Bowl - Small";"Small";"LEAF-002";"Baby spinach";"LEAF";"30";"g";"0.06";"6";"31.914894";"SOURCE_RECIPE";"true";"89";"Recipe and menu data_1_1(1).xlsx"
"RL-0089";"MI-006-SMALL";"MI-006";"Poke Bowl - Small";"Small";"PROT-006";"Sashimi salmon";"PROT";"65";"g";"0.12";"12";"73.863636";"SOURCE_RECIPE";"true";"90";"Recipe and menu data_1_1(1).xlsx"
"RL-0090";"MI-006-SMALL";"MI-006";"Poke Bowl - Small";"Small";"SAUC-006";"Creamy roasted sesame";"SAUC";"30";"g";"0.03";"3";"30.927835";"SOURCE_RECIPE";"true";"91";"Recipe and menu data_1_1(1).xlsx"
"RL-0091";"MI-006-SMALL";"MI-006";"Poke Bowl - Small";"Small";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"92";"Recipe and menu data_1_1(1).xlsx"
"RL-0092";"MI-006-SMALL";"MI-006";"Poke Bowl - Small";"Small";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"93";"Recipe and menu data_1_1(1).xlsx"
"RL-0093";"MI-006-SMALL";"MI-006";"Poke Bowl - Small";"Small";"GARN-003";"Crispy shallots";"GARN";"1";"spoon";"0.02";"2";"1.020408";"SOURCE_RECIPE";"true";"94";"Recipe and menu data_1_1(1).xlsx"
"RL-0094";"MI-006-SMALL";"MI-006";"Poke Bowl - Small";"Small";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"95";"Recipe and menu data_1_1(1).xlsx"
"RL-0095";"MI-006-LARGE";"MI-006";"Poke Bowl - Large";"Large";"BASE-003";"Turmeric coconut rice";"BASE";"250";"g";"0.02";"2";"255.102041";"SOURCE_RECIPE";"true";"96";"Recipe and menu data_1_1(1).xlsx"
"RL-0096";"MI-006-LARGE";"MI-006";"Poke Bowl - Large";"Large";"LEAF-002";"Baby spinach";"LEAF";"40";"g";"0.06";"6";"42.553191";"SOURCE_RECIPE";"true";"97";"Recipe and menu data_1_1(1).xlsx"
"RL-0097";"MI-006-LARGE";"MI-006";"Poke Bowl - Large";"Large";"PROT-006";"Sashimi salmon";"PROT";"95";"g";"0.12";"12";"107.954545";"SOURCE_RECIPE";"true";"98";"Recipe and menu data_1_1(1).xlsx"
"RL-0098";"MI-006-LARGE";"MI-006";"Poke Bowl - Large";"Large";"SAUC-006";"Creamy roasted sesame";"SAUC";"40";"g";"0.03";"3";"41.237113";"SOURCE_RECIPE";"true";"99";"Recipe and menu data_1_1(1).xlsx"
"RL-0099";"MI-006-LARGE";"MI-006";"Poke Bowl - Large";"Large";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"100";"Recipe and menu data_1_1(1).xlsx"
"RL-0100";"MI-006-LARGE";"MI-006";"Poke Bowl - Large";"Large";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"101";"Recipe and menu data_1_1(1).xlsx"
"RL-0101";"MI-006-LARGE";"MI-006";"Poke Bowl - Large";"Large";"GARN-003";"Crispy shallots";"GARN";"1";"spoon";"0.02";"2";"1.020408";"SOURCE_RECIPE";"true";"102";"Recipe and menu data_1_1(1).xlsx"
"RL-0102";"MI-006-LARGE";"MI-006";"Poke Bowl - Large";"Large";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"103";"Recipe and menu data_1_1(1).xlsx"
"RL-0103";"MI-067-SMALL";"MI-067";"Aburi Salmon Bowl - Small";"Small";"BASE-003";"Turmeric coconut rice";"BASE";"150";"g";"0.02";"2";"153.061224";"SOURCE_RECIPE";"true";"104";"Recipe and menu data_1_1(1).xlsx"
"RL-0104";"MI-067-SMALL";"MI-067";"Aburi Salmon Bowl - Small";"Small";"LEAF-002";"Baby spinach";"LEAF";"30";"g";"0.06";"6";"31.914894";"SOURCE_RECIPE";"true";"105";"Recipe and menu data_1_1(1).xlsx"
